|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|id|dominant_topic
40|0.0|0.0|0.0|1.0|0.0|153|0
41|0.0|0.0|0.0|0.2387|0.7613|162|4
42|0.5032|0.4968|0.0|0.0|0.0|163|0
43|1.0|0.0|0.0|0.0|0.0|164|0
44|0.0|0.0|0.0|1.0|0.0|168|2
45|0.0|0.0|0.0|0.0|0.0|169|0
46|0.1559|0.0|0.733|0.0|0.1111|170|0
47|0.0|0.0|0.0|1.0|0.0|171|3
48|0.0|0.0|0.0|0.0|0.0|172|1
49|0.241|0.1475|0.5375|0.0739|0.0|190|2
50|0.0|0.0|0.0|0.0|0.0|192|1
51|0.1793|0.0337|0.6242|0.1293|0.0335|193|2
52|0.3966|0.6034|0.0|0.0|0.0|211|1
53|0.0|0.0|0.7455|0.0|0.2545|214|2
54|0.0|1.0|0.0|0.0|0.0|215|1
55|0.5632|0.1601|0.0755|0.0361|0.1651|219|0
56|0.0|1.0|0.0|0.0|0.0|220|1
57|0.5118|0.0726|0.0|0.0|0.4156|227|0
58|0.0|0.0|0.0|0.0|0.0|229|0
59|0.0|0.1722|0.1542|0.6736|0.0|231|3
60|0.0|0.0|0.0|0.0|1.0|237|4
61|0.0234|0.1349|0.1108|0.5408|0.1902|239|3
62|1.0|0.0|0.0|0.0|0.0|244|0
63|0.0|0.0|0.0|0.0|0.0|247|1
64|0.0|1.0|0.0|0.0|0.0|248|1
65|0.0|0.0|0.0|1.0|0.0|251|1
66|0.0|0.0|0.0|0.0|0.0|266|1
67|0.516|0.0|0.3573|0.1267|0.0|271|0
68|0.3036|0.0|0.3511|0.0|0.3453|272|4
69|0.2456|0.7544|0.0|0.0|0.0|273|1
70|0.0|0.0|0.1175|0.0|0.8825|274|4
71|0.0|0.0|0.0|0.0|0.0|276|0
72|1.0|0.0|0.0|0.0|0.0|280|0
73|0.0|0.0|0.0|0.7502|0.2498|281|1
74|0.0|1.0|0.0|0.0|0.0|283|1
75|0.0|0.0|0.0|1.0|0.0|284|1
76|0.4696|0.0|0.5304|0.0|0.0|285|0
77|0.0|0.0|0.0|0.0|1.0|286|1
78|1.0|0.0|0.0|0.0|0.0|289|0
79|0.0|0.0|1.0|0.0|0.0|290|2
80|0.482|0.2493|0.2687|0.0|0.0|291|0
81|0.0|0.0|0.0|0.0|0.0|293|4
82|0.3366|0.6634|0.0|0.0|0.0|296|1
83|0.0417|0.0|0.0|0.7117|0.2466|307|3
84|0.0324|0.046|0.171|0.5817|0.1689|312|3
85|0.2735|0.0|0.4289|0.0|0.2975|315|0
86|0.0|0.0|0.0|0.0|0.0|330|4
87|0.4682|0.0|0.5318|0.0|0.0|333|0
88|0.0|0.0|0.0|0.0|1.0|339|4
89|0.0267|0.025|0.0571|0.0525|0.8387|341|4
90|0.2549|0.7451|0.0|0.0|0.0|342|0
91|0.0|0.5251|0.0|0.0|0.4749|344|4
92|0.2662|0.0|0.1217|0.0|0.6121|347|4
93|0.0|0.0|0.0|0.0|1.0|350|4
94|0.6083|0.2639|0.1278|0.0|0.0|356|0
95|0.0|0.0|0.0|0.0|1.0|358|4
96|0.0|0.0|0.0|0.0|1.0|359|4
97|0.0|0.0|0.0|0.0|0.0|360|0
98|0.238|0.0|0.1124|0.0|0.6496|371|0
