,dominant_topic,document_id,document_score
189,9,709,0.39598260922362477
190,4,710,0.3240505532749822
191,1,711,0.2098731896823881
192,0,714,0.2997851036100105
193,6,715,0.2376846712207057
194,4,718,0.14010055397602883
195,9,721,0.2635426490471768
196,0,723,0.3088214774369167
197,7,726,0.1717626725592731
198,0,732,0.045911227748943934
199,8,733,0.12928150160061222
200,1,737,0.13353596851553665
201,3,742,0.3055137774154107
202,1,744,0.20583310638909427
203,9,746,0.10013928565582667
204,5,753,0.17066983498735738
205,4,754,0.14435741604081256
206,7,759,0.060099710349832344
207,5,762,0.16267499424275816
208,9,768,0.03631804269642922
209,5,769,0.2686485387503654
210,6,774,0.05934699095638849
211,9,777,0.12857554956022496
212,1,780,0.2496246505710748
213,8,785,0.19964180833468156
214,7,790,0.15818116329926163
215,9,793,0.10894087656482307
216,6,795,0.17050005990237227
217,3,805,0.4387658472993319
218,5,807,0.05802942059670478
219,5,808,0.2015245101426904
220,5,809,0.33791789227837016
221,4,810,0.3855750932700047
222,5,814,0.46179331683707103
223,9,817,0.12118147595209842
224,8,819,0.20965695737704787
225,5,823,0.12599801994633175
226,5,824,0.14693405113495042
227,9,827,0.2377038008019245
228,7,830,0.1786407771347373
229,4,833,0.5478934760055659
230,0,834,0.06711975909601836
231,0,835,0.15190187641737124
232,9,838,0.17721281521353743
233,5,841,0.2396930556467899
234,6,845,0.2376846712207057
235,8,846,0.28394196702851043
236,4,848,0.08456479817235434
237,0,854,0.1770061408044031
238,0,855,0.37349898360579625
239,3,859,0.06173112142572788
240,1,860,0.44444351178495994
241,0,863,0.02329726387284413
242,7,864,0.08513688334114204
243,1,868,0.07546287506211652
244,3,878,0.32477479756093464
245,9,879,0.25182674916237574
246,1,882,0.15512447786494235
247,8,883,0.032455376060151746
248,8,885,0.35968357873550927
249,5,886,0.11336872660761169
250,2,892,0.9619052510743208
251,8,898,0.061861924944593055
252,9,900,0.15579116177994948
253,5,901,0.10799549874583476
254,9,902,0.14628426168659694
255,0,907,0.14640894524922865
256,4,914,0.20241713490232516
257,1,915,0.240049227854569
258,3,918,0.028492100543281412
259,4,919,0.15976064681886704
260,0,927,0.2552091384403164
261,1,932,0.093530049070076
262,3,933,0.13754143100628968
263,6,935,0.25803659751143887
264,0,937,0.18290459908231116
265,2,940,0.5016846801804002
266,5,941,0.5194390019671482
267,6,942,0.1157352730305568
268,8,943,0.15196320341533048
269,5,945,0.2696013468655274
270,5,948,0.15585128927027028
271,6,953,0.09453290746646106
272,5,955,0.32600526531871576
273,6,961,0.10133419737748994
274,5,962,0.03985878642899216
275,6,965,0.07065501937412101
276,2,968,0.5457343915531249
277,9,972,0.1141371387544322
278,0,975,0.12613620076240764
279,7,977,0.1348757803991648
280,7,978,0.1378304188150733
281,1,980,0.07198460236072689
282,5,987,0.21254232848550184
283,5,988,0.2636865867245577
284,9,989,0.085720962361415
285,7,992,0.13908014891450088
286,2,997,0.18202489767210384
287,5,1000,0.1187859239308637
288,1,1001,0.1739126734991954
289,8,1003,0.08776780198172525
290,7,1004,0.14123747971700604
291,7,1005,0.21433655496684637
292,6,1010,0.05934699095638849
293,5,1024,0.41386932400180704
294,7,1026,0.12031789580853253
295,1,1031,0.20226425299341044
296,1,1033,0.10648116127618433
297,1,1036,0.21985736528778796
298,3,1048,0.1647776048047258
299,6,1050,0.0740119276424263
300,3,1051,0.3369451461934955
301,1,1052,0.09850693817931036
302,1,1055,0.30657028842911205
303,8,1060,0.09968400922956006
304,1,1063,0.19575943825582795
305,7,1076,0.07038517715254765
306,9,1081,0.23011350450686288
307,2,1082,0.4881401127006223
308,9,1083,0.13548710740077602
309,4,1084,0.06147936809883233
310,0,1087,0.21315823985747764
311,4,1089,0.03258774171158868
312,7,1093,0.1211948232265849
313,0,1097,0.22426512997368098
314,5,1098,0.25845044292320135
315,4,1100,0.3205066492975814
316,1,1105,0.12383927335971161
317,4,1107,0.24079531518328096
318,8,1113,0.19687798445226107
319,0,1119,0.05902534760493209
320,5,1120,0.24777299670871988
321,5,1123,0.23582157556930106
322,7,1124,0.12247379341656188
323,5,1128,0.524039038062638
324,9,1137,0.1961598271675843
325,9,1141,0.23416756191836108
326,6,1142,0.020994336545231456
327,8,1145,0.05180282942938214
328,3,1157,0.0588211284220449
329,5,1161,0.24375177691700678
330,5,1170,0.16127678006058804
331,9,1171,0.055873316338836854
332,2,1172,0.39031117624510536
333,9,1177,0.12858200488887217
334,7,1178,0.29167767279785517
335,6,1181,0.3494926599869179
336,3,1190,0.14187048881587763
337,3,1197,0.05703450043072672
338,5,1199,0.19280613884773282
339,5,1202,0.2266825464924444
340,6,1203,0.09206987671702317
341,7,1208,0.10834453628282227
