dominant_topic,document_id,document_score
1,3660,0.6837
14,3667,1.0
13,3668,0.4086
7,3669,0.5179
11,3678,0.4264
9,3685,0.5123
14,3688,0.7077
3,3693,0.616
9,3695,0.563
3,3699,1.0
2,3708,0.5408
3,3715,0.9088
1,3717,0.5104
3,3725,1.0
12,3729,0.5238
11,3733,0.3767
10,3737,1.0
0,3739,1.0
9,3741,1.0
12,3746,0.4626
1,3748,0.5708
11,3752,0.5758
5,3757,0.6722
14,3758,0.6056
1,3759,0.3276
10,3761,0.0
9,3770,0.5273
0,3771,0.0
8,3790,0.8734
5,3793,0.6715
11,3798,0.4131
0,3808,0.4348
12,3810,0.6358
11,3819,0.4448
3,3820,1.0
13,3821,0.7449
10,3824,0.6167
7,3833,1.0
5,3834,0.6514
8,3842,0.3666
9,3843,0.0
3,3850,1.0
10,3852,0.0
10,3856,0.3417
1,3858,0.5141
9,3870,0.7211
7,3875,0.4936
0,3878,1.0
0,3883,0.3984
10,3886,0.3219
4,3891,0.6416
3,3910,1.0
11,3913,0.2545
0,3916,1.0
2,3926,0.7436
12,3931,0.434
6,3934,1.0
9,3938,0.5595
9,3941,0.272
14,3943,0.5048
1,3947,0.7898
5,3955,0.5872
1,3957,1.0
4,3964,1.0
12,3968,0.3352
4,3969,0.3205
11,3971,0.2193
9,3977,0.6386
10,3984,0.6381
4,3985,1.0
4,3996,0.637
3,4005,1.0
4,4012,0.6683
9,4026,1.0
7,4031,1.0
7,4035,1.0
13,4041,0.7489
6,4042,1.0
12,4047,0.427
4,4049,1.0
9,4052,0.5273
1,4057,0.5569
3,4061,1.0
8,4067,0.3828
12,4070,0.2281
9,4072,0.4676
10,4073,0.4707
2,4077,0.731
5,4086,0.8702
10,4089,0.7505
4,4096,0.5323
0,4101,1.0
8,4102,0.0
4,4107,0.486
3,4109,0.0
12,4128,0.5292
11,4129,0.413
9,4131,1.0
9,4132,0.0
3,4135,0.5645
9,4138,0.7211
2,4140,0.626
8,4142,0.6751
7,4143,1.0
2,4147,0.7043
4,4150,0.5133
4,4155,0.4257
0,4157,0.4239
3,4159,0.8758
10,4164,0.4015
5,4169,1.0
1,4172,0.4143
8,4175,0.8741
8,4177,1.0
10,4179,0.0
7,4180,1.0
1,4190,0.5077
8,4192,1.0
10,4197,0.5452
10,4199,0.3406
0,4200,1.0
7,4203,1.0
0,4209,1.0
4,4214,0.4443
1,4219,0.6583
1,4224,0.663
8,4228,0.7118
8,4229,0.0
14,4231,1.0
9,4237,0.4263
8,4239,0.6377
9,4241,0.5193
1,4242,0.4993
0,4243,1.0
10,4248,0.3639
