dominant_topic,document_id,document_score
2,2584,0.6274
2,2585,0.6137
4,2587,0.6967
4,2588,0.3358
0,2589,0.9057
1,2593,1.0
0,2604,1.0
1,2605,0.0
2,2611,0.5684
2,2616,1.0
4,2617,0.8212
0,2620,0.0
1,2623,1.0
4,2631,0.8026
0,2634,0.7744
2,2639,1.0
3,2644,0.8634
0,2645,0.0
1,2651,0.0
1,2654,0.0
2,2661,0.8103
2,2662,1.0
0,2666,1.0
4,2667,1.0
3,2673,1.0
0,2675,0.6611
2,2676,1.0
3,2678,0.5037
1,2680,0.0
1,2688,1.0
4,2695,1.0
1,2696,1.0
0,2706,0.5745
2,2708,0.5869
4,2711,0.7015
1,2713,0.0
4,2716,0.0
0,2723,0.6527
1,2726,1.0
0,2728,1.0
0,2731,0.0
2,2733,0.7399
0,2734,1.0
0,2736,0.7704
2,2748,0.4055
1,2750,0.7067
0,2755,0.6707
1,2757,0.0
1,2761,0.5649
1,2776,0.0
0,2782,1.0
1,2783,1.0
4,2784,0.7455
2,2793,0.5009
3,2802,0.5094
1,2809,0.3781
3,2810,0.7723
0,2817,0.5388
0,2819,0.5289
4,2820,0.3446
1,2823,0.7067
2,2835,0.0
1,2843,1.0
0,2850,0.3934
1,2851,0.0
0,2853,0.5693
0,2855,1.0
4,2857,1.0
4,2858,0.8223
0,2860,0.8634
2,2861,1.0
1,2869,0.0
0,2871,0.5151
0,2875,0.5165
4,2880,1.0
1,2885,1.0
1,2888,0.0
4,2890,0.7886
4,2892,0.0
4,2895,0.4881
0,2896,0.6931
2,2900,0.7387
0,2902,0.6909
1,2912,1.0
0,2915,0.4201
0,2918,0.4551
1,2921,1.0
0,2926,0.6543
0,2928,0.4433
1,2931,1.0
2,2932,0.3674
1,2934,1.0
0,2935,0.7636
1,2943,0.549
0,2948,1.0
0,2949,1.0
0,2952,0.0
1,2954,1.0
4,2955,1.0
0,2957,0.7653
1,2960,0.5649
4,2969,1.0
1,2981,1.0
0,2989,1.0
2,2990,1.0
4,2992,1.0
0,2993,1.0
2,2994,1.0
0,3004,0.7682
2,3005,0.7182
0,3006,0.5639
0,3007,1.0
1,3011,1.0
0,3012,0.0
4,3013,0.578
2,3014,0.601
0,3019,1.0
0,3020,0.538
4,3022,1.0
0,3023,0.5555
0,3025,0.5315
4,3028,1.0
0,3029,0.5895
4,3036,0.5863
1,3037,1.0
3,3059,0.4439
1,3062,1.0
4,3064,0.5781
4,3069,0.5848
0,3074,0.7947
1,3076,1.0
1,3078,0.0
4,3084,1.0
4,3086,1.0
1,3087,0.0
4,3090,1.0
1,3091,1.0
3,3093,0.8405
1,3098,0.0
4,3101,0.6389
2,3102,0.6268
1,3108,1.0
4,3112,0.6456
3,3114,1.0
2,3117,0.6163
4,3119,0.6254
1,3125,0.0
1,3127,1.0
0,3140,1.0
0,3145,1.0
1,3146,1.0
1,3150,0.7357
3,3152,0.8985
4,3160,0.3948
1,3163,1.0
2,3165,0.6477
1,3166,0.5649
4,3170,0.4219
3,3173,0.8605
1,3175,0.0
1,3176,1.0
0,3181,1.0
1,3182,0.0
1,3187,0.0
0,3191,0.63
1,3198,0.8165
2,3202,0.5798
